!Required final counter 1 value =       2 ; Required final counter 2 value =       3
!       #iomp    #batch  #history       #no     #name        #reg  EdepA(MeV)      xA(cm)      yA(cm)      zA(cm)      tA(ns)        #reg  EdepB(MeV)      xB(cm)      yB(cm)      zB(cm)      tB(ns)        #reg  EdepC(MeV)      xC(cm)      yC(cm)      zC(cm)      tC(ns)
!ncol   Z   N jcl kcl nclsts
!In/Out kf-code     E(MeV)      weight 

ge 0 0 0 0 0 ; 1 1.77146 112.636 4.13214 -3.57857 3.76155 , 2 0.106892 100.48 0.986304 -2.78008 4.20088 , 3 0 0 0 0 0 ,

ge 0 0 0 1 0 ; 1 1.29318 100.568 -3.15477 3.4079 3.35816 , 2 0.252466 106.452 1.85631 -3.4148 3.70204 , 3 0.125342 112.062 2.89522 -2.98566 3.89289 ,

ge 0 0 0 2 0 ; 1 1.09144 100.701 4.6052 2.467 3.36353 , 2 0.667144 106.823 -1.20724 2.56591 3.64515 , 3 0.0557018 100.314 -1.30688 -2.91257 3.92896 ,

ge 0 0 0 3 0 ; 1 0.923347 100.207 0.390291 3.57103 3.34468 , 2 0.567589 106.31 -4.37189 3.0105 3.60358 , 3 0.275099 112.88 -2.36142 -3.28442 3.9144 ,

ge 0 0 0 4 0 ; 1 0.702412 100.186 -0.263692 -2.76976 3.34313 , 2 0.732256 106.214 -3.79861 -3.51527 3.57756 , 3 0.287749 112.628 -3.16837 3.00866 3.88346 ,

ge 0 0 0 5 0 ; 1 1.62584 112.613 -3.589 3.31387 3.75989 , 2 0.199059 112.12 -4.07374 -2.53729 3.95643 , 3 0.0255356 106.251 0.732396 2.68244 4.26356 ,

ge 0 0 0 6 0 ; 1 1.18562 101.137 -2.87735 3.11516 3.37654 , 2 0.578399 106.708 -4.12935 -3.32084 3.66352 , 3 0.0375775 106.648 5.33264 2.94981 4.04217 ,

ge 0 0 0 7 0 ; 1 0.799607 100.585 -1.7228 3.00192 3.35715 , 2 0.976181 112.68 -6.17228 -3.48046 3.83835 , 3 0.012015 101.03 -6.0188 -3.18796 4.22711 ,

ge 0 0 0 8 0 ; 1 1.57385 112.591 1.32063 -3.55164 3.7578 , 2 0.143923 113.18 -0.970439 2.72406 3.98151 , 3 0 0 0 0 0 ,

ge 0 0 0 9 0 ; 1 1.11638 101.003 2.15344 2.52345 3.37092 , 2 0.367551 106.186 1.16683 -2.70163 3.6186 , 3 0.280558 112.771 4.65814 -3.066 3.86752 ,

