 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_C-ions.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.278E-01  1.046E+00      62 A        29 A        21 A   
   1.10 keV   2.389E-01  1.057E+00      67 A        31 A        23 A   
   1.20 keV   2.495E-01  1.066E+00      71 A        33 A        24 A   
   1.30 keV   2.597E-01  1.074E+00      76 A        34 A        25 A   
   1.40 keV   2.695E-01  1.079E+00      80 A        36 A        27 A   
   1.50 keV   2.790E-01  1.084E+00      85 A        38 A        28 A   
   1.60 keV   2.882E-01  1.088E+00      89 A        40 A        29 A   
   1.70 keV   2.970E-01  1.091E+00      94 A        41 A        31 A   
   1.80 keV   3.056E-01  1.093E+00      98 A        43 A        32 A   
   2.00 keV   3.222E-01  1.096E+00     107 A        46 A        34 A   
   2.25 keV   3.417E-01  1.096E+00     118 A        50 A        37 A   
   2.50 keV   3.602E-01  1.095E+00     129 A        54 A        40 A   
   2.75 keV   3.778E-01  1.091E+00     139 A        58 A        43 A   
   3.00 keV   3.946E-01  1.087E+00     150 A        62 A        46 A   
   3.25 keV   4.107E-01  1.081E+00     161 A        66 A        48 A   
   3.50 keV   4.262E-01  1.075E+00     172 A        70 A        51 A   
   3.75 keV   4.412E-01  1.069E+00     182 A        73 A        54 A   
   4.00 keV   4.556E-01  1.062E+00     193 A        77 A        56 A   
   4.50 keV   4.833E-01  1.047E+00     214 A        84 A        61 A   
