 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_H-ions.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.607E-01  3.128E-02     279 A       171 A       141 A   
   1.10 keV   1.685E-01  2.998E-02     305 A       182 A       151 A   
   1.20 keV   1.760E-01  2.880E-02     331 A       192 A       160 A   
   1.30 keV   1.832E-01  2.773E-02     356 A       202 A       169 A   
   1.40 keV   1.901E-01  2.676E-02     382 A       211 A       178 A   
   1.50 keV   1.968E-01  2.586E-02     407 A       219 A       186 A   
   1.60 keV   2.033E-01  2.503E-02     432 A       228 A       195 A   
   1.70 keV   2.095E-01  2.427E-02     456 A       236 A       202 A   
   1.80 keV   2.156E-01  2.356E-02     481 A       243 A       210 A   
   2.00 keV   2.273E-01  2.228E-02     529 A       258 A       225 A   
   2.25 keV   2.401E-01  2.089E-02     588 A       274 A       242 A   
   2.50 keV   2.521E-01  1.969E-02     646 A       289 A       258 A   
   2.75 keV   2.636E-01  1.865E-02     703 A       303 A       273 A   
   3.00 keV   2.745E-01  1.772E-02     758 A       316 A       288 A   
   3.25 keV   2.850E-01  1.690E-02     813 A       328 A       301 A   
   3.50 keV   2.950E-01  1.617E-02     867 A       339 A       314 A   
   3.75 keV   3.047E-01  1.550E-02     919 A       349 A       326 A   
   4.00 keV   3.141E-01  1.490E-02     971 A       359 A       338 A   
