 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_He-ions.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.317E-01  2.209E-01     151 A        87 A        65 A   
   1.10 keV   1.381E-01  2.166E-01     166 A        94 A        71 A   
   1.20 keV   1.443E-01  2.123E-01     181 A       102 A        76 A   
   1.30 keV   1.502E-01  2.082E-01     195 A       108 A        82 A   
   1.40 keV   1.558E-01  2.043E-01     210 A       115 A        87 A   
   1.50 keV   1.613E-01  2.005E-01     225 A       122 A        92 A   
   1.60 keV   1.666E-01  1.969E-01     240 A       129 A        98 A   
   1.70 keV   1.717E-01  1.933E-01     255 A       135 A       103 A   
   1.80 keV   1.767E-01  1.900E-01     270 A       142 A       108 A   
   2.00 keV   1.863E-01  1.836E-01     300 A       154 A       118 A   
   2.25 keV   1.976E-01  1.763E-01     338 A       170 A       131 A   
   2.50 keV   2.082E-01  1.697E-01     377 A       185 A       144 A   
   2.75 keV   2.184E-01  1.636E-01     415 A       199 A       156 A   
   3.00 keV   2.281E-01  1.580E-01     453 A       213 A       168 A   
   3.25 keV   2.374E-01  1.528E-01     491 A       227 A       180 A   
   3.50 keV   2.464E-01  1.481E-01     530 A       240 A       192 A   
   3.75 keV   2.551E-01  1.436E-01     568 A       253 A       203 A   
   4.00 keV   2.634E-01  1.395E-01     606 A       265 A       215 A   
   4.50 keV   2.794E-01  1.321E-01     682 A       289 A       237 A   
