 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_N-ions.txt

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.454E-01  1.225E+00      57 A        26 A        19 A   
   1.10 keV   2.574E-01  1.242E+00      61 A        27 A        20 A   
   1.20 keV   2.689E-01  1.257E+00      65 A        29 A        21 A   
   1.30 keV   2.798E-01  1.269E+00      69 A        30 A        23 A   
   1.40 keV   2.904E-01  1.280E+00      73 A        32 A        24 A   
   1.50 keV   3.006E-01  1.289E+00      77 A        33 A        25 A   
   1.60 keV   3.105E-01  1.297E+00      81 A        35 A        26 A   
   1.70 keV   3.200E-01  1.303E+00      85 A        36 A        27 A   
   1.80 keV   3.293E-01  1.309E+00      89 A        38 A        28 A   
   2.00 keV   3.471E-01  1.318E+00      96 A        40 A        30 A   
   2.25 keV   3.682E-01  1.325E+00     106 A        44 A        32 A   
   2.50 keV   3.881E-01  1.330E+00     115 A        47 A        35 A   
   2.75 keV   4.070E-01  1.331E+00     124 A        50 A        37 A   
   3.00 keV   4.251E-01  1.331E+00     133 A        53 A        39 A   
   3.25 keV   4.425E-01  1.330E+00     143 A        57 A        42 A   
   3.50 keV   4.592E-01  1.327E+00     152 A        60 A        44 A   
   3.75 keV   4.753E-01  1.323E+00     161 A        63 A        46 A   
   4.00 keV   4.909E-01  1.319E+00     170 A        66 A        48 A   
   4.50 keV   5.207E-01  1.308E+00     188 A        72 A        53 A   
