 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_O-ions.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.317E-01  1.389E+00      54 A        24 A        18 A   
   1.10 keV   2.430E-01  1.412E+00      58 A        25 A        19 A   
   1.20 keV   2.539E-01  1.432E+00      62 A        27 A        20 A   
   1.30 keV   2.642E-01  1.450E+00      65 A        28 A        21 A   
   1.40 keV   2.742E-01  1.465E+00      69 A        29 A        22 A   
   1.50 keV   2.838E-01  1.479E+00      73 A        30 A        23 A   
   1.60 keV   2.931E-01  1.491E+00      76 A        32 A        24 A   
   1.70 keV   3.021E-01  1.502E+00      80 A        33 A        25 A   
   1.80 keV   3.109E-01  1.511E+00      83 A        34 A        26 A   
   2.00 keV   3.277E-01  1.527E+00      90 A        37 A        27 A   
   2.25 keV   3.476E-01  1.542E+00      98 A        40 A        30 A   
   2.50 keV   3.664E-01  1.552E+00     107 A        43 A        32 A   
   2.75 keV   3.843E-01  1.560E+00     115 A        45 A        34 A   
   3.00 keV   4.014E-01  1.565E+00     124 A        48 A        36 A   
   3.25 keV   4.178E-01  1.568E+00     132 A        51 A        38 A   
   3.50 keV   4.335E-01  1.569E+00     140 A        54 A        40 A   
   3.75 keV   4.488E-01  1.569E+00     148 A        56 A        42 A   
   4.00 keV   4.635E-01  1.568E+00     156 A        59 A        44 A   
   4.50 keV   4.916E-01  1.563E+00     172 A        64 A        48 A   
