 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_C-ions.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.574E-01  1.075E+00      58 A        26 A        20 A   
   1.10 keV   2.699E-01  1.086E+00      62 A        28 A        21 A   
   1.20 keV   2.819E-01  1.095E+00      67 A        30 A        22 A   
   1.30 keV   2.935E-01  1.102E+00      71 A        31 A        23 A   
   1.40 keV   3.045E-01  1.108E+00      75 A        33 A        24 A   
   1.50 keV   3.152E-01  1.113E+00      79 A        34 A        26 A   
   1.60 keV   3.256E-01  1.116E+00      83 A        36 A        27 A   
   1.70 keV   3.356E-01  1.119E+00      87 A        38 A        28 A   
   1.80 keV   3.453E-01  1.121E+00      91 A        39 A        29 A   
   2.00 keV   3.640E-01  1.124E+00     100 A        42 A        31 A   
   2.25 keV   3.861E-01  1.124E+00     110 A        46 A        34 A   
   2.50 keV   4.070E-01  1.122E+00     120 A        49 A        36 A   
   2.75 keV   4.268E-01  1.118E+00     130 A        53 A        39 A   
   3.00 keV   4.458E-01  1.113E+00     140 A        56 A        41 A   
   3.25 keV   4.640E-01  1.107E+00     150 A        60 A        44 A   
   3.50 keV   4.815E-01  1.101E+00     159 A        63 A        46 A   
   3.75 keV   4.984E-01  1.094E+00     169 A        66 A        49 A   
   4.00 keV   5.148E-01  1.086E+00     179 A        69 A        51 A   
   4.50 keV   5.460E-01  1.071E+00     199 A        76 A        56 A   
