 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_H-ions.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.727E-01  3.237E-02     259 A       153 A       127 A   
   1.10 keV   1.811E-01  3.100E-02     283 A       163 A       136 A   
   1.20 keV   1.892E-01  2.976E-02     307 A       172 A       144 A   
   1.30 keV   1.969E-01  2.864E-02     330 A       180 A       152 A   
   1.40 keV   2.044E-01  2.762E-02     354 A       188 A       160 A   
   1.50 keV   2.115E-01  2.668E-02     377 A       196 A       168 A   
   1.60 keV   2.185E-01  2.582E-02     399 A       203 A       175 A   
   1.70 keV   2.252E-01  2.502E-02     422 A       210 A       182 A   
   1.80 keV   2.317E-01  2.428E-02     444 A       217 A       189 A   
   2.00 keV   2.442E-01  2.294E-02     488 A       230 A       201 A   
   2.25 keV   2.582E-01  2.150E-02     542 A       244 A       217 A   
   2.50 keV   2.714E-01  2.026E-02     595 A       257 A       231 A   
   2.75 keV   2.839E-01  1.917E-02     646 A       269 A       244 A   
   3.00 keV   2.959E-01  1.822E-02     697 A       280 A       257 A   
   3.25 keV   3.073E-01  1.736E-02     746 A       290 A       268 A   
   3.50 keV   3.182E-01  1.660E-02     795 A       300 A       280 A   
   3.75 keV   3.288E-01  1.591E-02     842 A       309 A       290 A   
   4.00 keV   3.389E-01  1.529E-02     889 A       317 A       301 A   
   4.50 keV   3.582E-01  1.419E-02     981 A       333 A       320 A   
