 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_He-ions.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.426E-01  2.283E-01     141 A        79 A        59 A   
   1.10 keV   1.496E-01  2.237E-01     155 A        86 A        64 A   
   1.20 keV   1.562E-01  2.192E-01     169 A        92 A        69 A   
   1.30 keV   1.626E-01  2.149E-01     182 A        98 A        74 A   
   1.40 keV   1.687E-01  2.107E-01     196 A       104 A        79 A   
   1.50 keV   1.747E-01  2.067E-01     210 A       111 A        84 A   
   1.60 keV   1.804E-01  2.029E-01     224 A       117 A        89 A   
   1.70 keV   1.860E-01  1.992E-01     238 A       122 A        93 A   
   1.80 keV   1.913E-01  1.957E-01     252 A       128 A        98 A   
   2.00 keV   2.017E-01  1.890E-01     280 A       139 A       107 A   
   2.25 keV   2.139E-01  1.814E-01     315 A       153 A       119 A   
   2.50 keV   2.255E-01  1.744E-01     350 A       166 A       130 A   
   2.75 keV   2.365E-01  1.681E-01     385 A       179 A       141 A   
   3.00 keV   2.470E-01  1.623E-01     421 A       192 A       152 A   
   3.25 keV   2.571E-01  1.569E-01     456 A       204 A       162 A   
   3.50 keV   2.668E-01  1.519E-01     491 A       215 A       173 A   
   3.75 keV   2.762E-01  1.474E-01     526 A       227 A       183 A   
   4.00 keV   2.852E-01  1.431E-01     561 A       238 A       193 A   
   4.50 keV   3.026E-01  1.354E-01     631 A       259 A       213 A   
