 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_Si-ions.txt

 Ion = Silicon [14] , Mass = 27.977 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.863E-01  2.142E+00      43 A        16 A        12 A   
   1.10 keV   3.003E-01  2.200E+00      46 A        17 A        13 A   
   1.20 keV   3.136E-01  2.253E+00      49 A        18 A        13 A   
   1.30 keV   3.265E-01  2.302E+00      51 A        18 A        14 A   
   1.40 keV   3.388E-01  2.346E+00      53 A        19 A        15 A   
   1.50 keV   3.507E-01  2.387E+00      56 A        20 A        15 A   
   1.60 keV   3.622E-01  2.424E+00      58 A        21 A        16 A   
   1.70 keV   3.733E-01  2.459E+00      60 A        21 A        16 A   
   1.80 keV   3.841E-01  2.492E+00      63 A        22 A        17 A   
   2.00 keV   4.049E-01  2.551E+00      67 A        23 A        18 A   
   2.25 keV   4.295E-01  2.614E+00      73 A        25 A        19 A   
   2.50 keV   4.527E-01  2.669E+00      78 A        26 A        20 A   
   2.75 keV   4.748E-01  2.716E+00      83 A        28 A        21 A   
   3.00 keV   4.959E-01  2.758E+00      88 A        29 A        23 A   
   3.25 keV   5.162E-01  2.795E+00      93 A        31 A        24 A   
   3.50 keV   5.357E-01  2.827E+00      98 A        32 A        25 A   
   3.75 keV   5.545E-01  2.855E+00     103 A        33 A        26 A   
   4.00 keV   5.727E-01  2.881E+00     108 A        35 A        27 A   
   4.50 keV   6.074E-01  2.924E+00     117 A        37 A        29 A   
